,LM number,Bone words,Region words,Data point,By Bone 14,By Bone (joining exoccipital+prootic) 12,By Region 19,Functional regions 6,Caecilian modules (FP in Fr) 9,Caecilian modules (FP in Pa) 10,Variably vs always present,Ossification sequence rank,"Simon+Marroig 2017 Functional 1 (NA: R, FP: R)","Simon+Marroig 2017 Functional 2 (NA: R, FP: N)","Simon+Marroig 2017 Functional 3 (NA: R, FP: Su)","Simon+Marroig 2017 Functional 4 (NA: Sn, FP: R)","Simon+Marroig 2017 Functional 5 (NA: Sn, FP: N)","Simon+Marroig 2017 Functional 6 (NA: Sn, FP: Su)","Pierkarski 1 (PS_sph: M, FP: H)","Pierkarski 2 (PS_sph: M, FP: M)","Pierkarski 3 (PS_sph: M, FP: B)","Pierkarski 4 (PS_sph: H, FP: H)","Pierkarski 5 (PS_sph: H, FP: M)","Pierkarski 6 (PS_sph: H, FP: B)","Vidal-Garcia 1. Snout: tip of the snout and the olfactory area (premaxilla, maxilla, and nasal),(I included Neo and Vo in snout too) 2: rest. ","Vidal-Garica 2: 1. dorsal, 2. ventral","Vidal-Garica 3: 1. snout, 2. rest, 3. squamosal","Vidal-Garcia 4: 1. snout, 2. posterior 3. medial","Vidal-Garcia 5: 1. snout, 2. rest, 3. brain region (dorsal sphenethemoid, exoccipital, frontoparietal)"
C34,282,Frontoparietal,Frontoparietal,FP: Medially along margin: 5,6,6,6,4,6,6,1,1,4,2,3,4,2,3,1,2,3,1,2,3,2,1,2,3,3
C34,283,Frontoparietal,Frontoparietal,FP: Medially along margin: 5,6,6,6,4,6,6,1,1,4,2,3,4,2,3,1,2,3,1,2,3,2,1,2,3,3
C34,284,Frontoparietal,Frontoparietal,FP: Medially along margin: 5,6,6,6,4,6,6,1,1,4,2,3,4,2,3,1,2,3,1,2,3,2,1,2,3,3
C34,285,Frontoparietal,Frontoparietal,FP: Medially along margin: 5,6,6,6,4,6,6,1,1,4,2,3,4,2,3,1,2,3,1,2,3,2,1,2,3,3
C34,286,Frontoparietal,Frontoparietal,FP: Medially along margin: 5,6,6,6,4,6,6,1,1,4,2,3,4,2,3,1,2,3,1,2,3,2,1,2,3,3
C35,287,Frontoparietal,Frontoparietal,FP: Anteriorly along margin: 10,6,6,6,4,6,6,1,1,4,2,3,4,2,3,1,2,3,1,2,3,2,1,2,3,3
C35,288,Frontoparietal,Frontoparietal,FP: Anteriorly along margin: 10,6,6,6,4,6,6,1,1,4,2,3,4,2,3,1,2,3,1,2,3,2,1,2,3,3
C35,289,Frontoparietal,Frontoparietal,FP: Anteriorly along margin: 10,6,6,6,4,6,6,1,1,4,2,3,4,2,3,1,2,3,1,2,3,2,1,2,3,3
C35,290,Frontoparietal,Frontoparietal,FP: Anteriorly along margin: 10,6,6,6,4,6,6,1,1,4,2,3,4,2,3,1,2,3,1,2,3,2,1,2,3,3
C35,291,Frontoparietal,Frontoparietal,FP: Anteriorly along margin: 10,6,6,6,4,6,6,1,1,4,2,3,4,2,3,1,2,3,1,2,3,2,1,2,3,3
C35,292,Frontoparietal,Frontoparietal,FP: Anteriorly along margin: 10,6,6,6,4,6,6,1,1,4,2,3,4,2,3,1,2,3,1,2,3,2,1,2,3,3
C35,293,Frontoparietal,Frontoparietal,FP: Anteriorly along margin: 10,6,6,6,4,6,6,1,1,4,2,3,4,2,3,1,2,3,1,2,3,2,1,2,3,3
C35,294,Frontoparietal,Frontoparietal,FP: Anteriorly along margin: 10,6,6,6,4,6,6,1,1,4,2,3,4,2,3,1,2,3,1,2,3,2,1,2,3,3
C35,295,Frontoparietal,Frontoparietal,FP: Anteriorly along margin: 10,6,6,6,4,6,6,1,1,4,2,3,4,2,3,1,2,3,1,2,3,2,1,2,3,3
C35,296,Frontoparietal,Frontoparietal,FP: Anteriorly along margin: 10,6,6,6,4,6,6,1,1,4,2,3,4,2,3,1,2,3,1,2,3,2,1,2,3,3
C43,297,Exoccipital,Exoccipital,Exocc: Following midline to foramen magnum: 3,8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C43,298,Exoccipital,Exoccipital,Exocc: Following midline to foramen magnum: 3,8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C43,299,Exoccipital,Exoccipital,Exocc: Following midline to foramen magnum: 3,8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C44,300,Exoccipital,Exoccipital,Exocc: Tracing foramen magnum: 5,8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C44,301,Exoccipital,Exoccipital,Exocc: Tracing foramen magnum: 5,8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C44,302,Exoccipital,Exoccipital,Exocc: Tracing foramen magnum: 5,8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C44,303,Exoccipital,Exoccipital,Exocc: Tracing foramen magnum: 5,8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C44,304,Exoccipital,Exoccipital,Exocc: Tracing foramen magnum: 5,8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C45,305,Exoccipital,Occipital condyle,Exocc: Tracing lateral margin of occipital condyle: 5,8,8,11,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C45,306,Exoccipital,Occipital condyle,Exocc: Tracing lateral margin of occipital condyle: 5,8,8,11,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C45,307,Exoccipital,Occipital condyle,Exocc: Tracing lateral margin of occipital condyle: 5,8,8,11,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C45,308,Exoccipital,Occipital condyle,Exocc: Tracing lateral margin of occipital condyle: 5,8,8,11,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C45,309,Exoccipital,Occipital condyle,Exocc: Tracing lateral margin of occipital condyle: 5,8,8,11,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C46,310,Exoccipital,Occipital condyle,Exocc: Tracing medial margin of occipital condyle: 4,8,8,11,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C46,311,Exoccipital,Occipital condyle,Exocc: Tracing medial margin of occipital condyle: 4,8,8,11,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C46,312,Exoccipital,Occipital condyle,Exocc: Tracing medial margin of occipital condyle: 4,8,8,11,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C46,313,Exoccipital,Occipital condyle,Exocc: Tracing medial margin of occipital condyle: 4,8,8,11,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C47,314,Exoccipital,Exoccipital,Exocc: Tracing foramen magnum: 3,8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C47,315,Exoccipital,Exoccipital,Exocc: Tracing foramen magnum: 3,8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C47,316,Exoccipital,Exoccipital,Exocc: Tracing foramen magnum: 3,8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C48,317,Exoccipital,Exoccipital,"Exocc: Anteriorly along bone margin, or along midline if fused medially: 3",8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C48,318,Exoccipital,Exoccipital,"Exocc: Anteriorly along bone margin, or along midline if fused medially: 3",8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C48,319,Exoccipital,Exoccipital,"Exocc: Anteriorly along bone margin, or along midline if fused medially: 3",8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C49,320,Exoccipital,Exoccipital,"Exocc: Laterally, tracing bine margin: 5",8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C49,321,Exoccipital,Exoccipital,"Exocc: Laterally, tracing bine margin: 5",8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C49,322,Exoccipital,Exoccipital,"Exocc: Laterally, tracing bine margin: 5",8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C49,323,Exoccipital,Exoccipital,"Exocc: Laterally, tracing bine margin: 5",8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C49,324,Exoccipital,Exoccipital,"Exocc: Laterally, tracing bine margin: 5",8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C50,325,Exoccipital,Exoccipital,"Exocc: Trace around posterior margin of fenestra ovalis, to the ventral exteme of the ridge, and finally dorsally along ridge. : 10",8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C50,326,Exoccipital,Exoccipital,"Exocc: Trace around posterior margin of fenestra ovalis, to the ventral exteme of the ridge, and finally dorsally along ridge. : 10",8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C50,327,Exoccipital,Exoccipital,"Exocc: Trace around posterior margin of fenestra ovalis, to the ventral exteme of the ridge, and finally dorsally along ridge. : 10",8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C50,328,Exoccipital,Exoccipital,"Exocc: Trace around posterior margin of fenestra ovalis, to the ventral exteme of the ridge, and finally dorsally along ridge. : 10",8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C50,329,Exoccipital,Exoccipital,"Exocc: Trace around posterior margin of fenestra ovalis, to the ventral exteme of the ridge, and finally dorsally along ridge. : 10",8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C50,330,Exoccipital,Exoccipital,"Exocc: Trace around posterior margin of fenestra ovalis, to the ventral exteme of the ridge, and finally dorsally along ridge. : 10",8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C50,331,Exoccipital,Exoccipital,"Exocc: Trace around posterior margin of fenestra ovalis, to the ventral exteme of the ridge, and finally dorsally along ridge. : 10",8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C50,332,Exoccipital,Exoccipital,"Exocc: Trace around posterior margin of fenestra ovalis, to the ventral exteme of the ridge, and finally dorsally along ridge. : 10",8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C50,333,Exoccipital,Exoccipital,"Exocc: Trace around posterior margin of fenestra ovalis, to the ventral exteme of the ridge, and finally dorsally along ridge. : 10",8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C50,334,Exoccipital,Exoccipital,"Exocc: Trace around posterior margin of fenestra ovalis, to the ventral exteme of the ridge, and finally dorsally along ridge. : 10",8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C51,335,Exoccipital,Exoccipital,Exocc: Tracing along ridge dorsally: 5,8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C51,336,Exoccipital,Exoccipital,Exocc: Tracing along ridge dorsally: 5,8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C51,337,Exoccipital,Exoccipital,Exocc: Tracing along ridge dorsally: 5,8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C51,338,Exoccipital,Exoccipital,Exocc: Tracing along ridge dorsally: 5,8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C51,339,Exoccipital,Exoccipital,Exocc: Tracing along ridge dorsally: 5,8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C52,340,Exoccipital,Exoccipital,Exocc: Medially tracing along bone margin: 5,8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C52,341,Exoccipital,Exoccipital,Exocc: Medially tracing along bone margin: 5,8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C52,342,Exoccipital,Exoccipital,Exocc: Medially tracing along bone margin: 5,8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C52,343,Exoccipital,Exoccipital,Exocc: Medially tracing along bone margin: 5,8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C52,344,Exoccipital,Exoccipital,Exocc: Medially tracing along bone margin: 5,8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C53,345,Exoccipital,Exoccipital,Exocc: Laterally around jugular foramen: 5,8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C53,346,Exoccipital,Exoccipital,Exocc: Laterally around jugular foramen: 5,8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C53,347,Exoccipital,Exoccipital,Exocc: Laterally around jugular foramen: 5,8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C53,348,Exoccipital,Exoccipital,Exocc: Laterally around jugular foramen: 5,8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C53,349,Exoccipital,Exoccipital,Exocc: Laterally around jugular foramen: 5,8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C54,350,Exoccipital,Exoccipital,Exocc: Medially around jugular foramen: 5,8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C54,351,Exoccipital,Exoccipital,Exocc: Medially around jugular foramen: 5,8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C54,352,Exoccipital,Exoccipital,Exocc: Medially around jugular foramen: 5,8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C54,353,Exoccipital,Exoccipital,Exocc: Medially around jugular foramen: 5,8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C54,354,Exoccipital,Exoccipital,Exocc: Medially around jugular foramen: 5,8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
C55,355,Prootic,Otic,"Otic: Anterially, tracing medial side of ridge: 8",9,8,12,6,8,8,1,1,2,2,2,2,2,2,3,3,3,3,3,3,2,1,2,2,2
C55,356,Prootic,Otic,"Otic: Anterially, tracing medial side of ridge: 8",9,8,12,6,8,8,1,1,2,2,2,2,2,2,3,3,3,3,3,3,2,1,2,2,2
C55,357,Prootic,Otic,"Otic: Anterially, tracing medial side of ridge: 8",9,8,12,6,8,8,1,1,2,2,2,2,2,2,3,3,3,3,3,3,2,1,2,2,2
C55,358,Prootic,Otic,"Otic: Anterially, tracing medial side of ridge: 8",9,8,12,6,8,8,1,1,2,2,2,2,2,2,3,3,3,3,3,3,2,1,2,2,2
C55,359,Prootic,Otic,"Otic: Anterially, tracing medial side of ridge: 8",9,8,12,6,8,8,1,1,2,2,2,2,2,2,3,3,3,3,3,3,2,1,2,2,2
C55,360,Prootic,Otic,"Otic: Anterially, tracing medial side of ridge: 8",9,8,12,6,8,8,1,1,2,2,2,2,2,2,3,3,3,3,3,3,2,1,2,2,2
C55,361,Prootic,Otic,"Otic: Anterially, tracing medial side of ridge: 8",9,8,12,6,8,8,1,1,2,2,2,2,2,2,3,3,3,3,3,3,2,1,2,2,2
C55,362,Prootic,Otic,"Otic: Anterially, tracing medial side of ridge: 8",9,8,12,6,8,8,1,1,2,2,2,2,2,2,3,3,3,3,3,3,2,1,2,2,2
C56,363,Prootic,Otic,"Otic: Laterally, following contour: 5",9,8,12,6,8,8,1,1,2,2,2,2,2,2,3,3,3,3,3,3,2,1,2,2,2
C56,364,Prootic,Otic,"Otic: Laterally, following contour: 5",9,8,12,6,8,8,1,1,2,2,2,2,2,2,3,3,3,3,3,3,2,1,2,2,2
C56,365,Prootic,Otic,"Otic: Laterally, following contour: 5",9,8,12,6,8,8,1,1,2,2,2,2,2,2,3,3,3,3,3,3,2,1,2,2,2
C56,366,Prootic,Otic,"Otic: Laterally, following contour: 5",9,8,12,6,8,8,1,1,2,2,2,2,2,2,3,3,3,3,3,3,2,1,2,2,2
C56,367,Prootic,Otic,"Otic: Laterally, following contour: 5",9,8,12,6,8,8,1,1,2,2,2,2,2,2,3,3,3,3,3,3,2,1,2,2,2
C57,368,Prootic,Otic,"Otic: Posteriorly, tracing lateral margin of dorsal bone surface: 15",9,8,12,6,8,8,1,1,2,2,2,2,2,2,3,3,3,3,3,3,2,1,2,2,2
C57,369,Prootic,Otic,"Otic: Posteriorly, tracing lateral margin of dorsal bone surface: 15",9,8,12,6,8,8,1,1,2,2,2,2,2,2,3,3,3,3,3,3,2,1,2,2,2
C57,370,Prootic,Otic,"Otic: Posteriorly, tracing lateral margin of dorsal bone surface: 15",9,8,12,6,8,8,1,1,2,2,2,2,2,2,3,3,3,3,3,3,2,1,2,2,2
C57,371,Prootic,Otic,"Otic: Posteriorly, tracing lateral margin of dorsal bone surface: 15",9,8,12,6,8,8,1,1,2,2,2,2,2,2,3,3,3,3,3,3,2,1,2,2,2
C57,372,Prootic,Otic,"Otic: Posteriorly, tracing lateral margin of dorsal bone surface: 15",9,8,12,6,8,8,1,1,2,2,2,2,2,2,3,3,3,3,3,3,2,1,2,2,2
C57,373,Prootic,Otic,"Otic: Posteriorly, tracing lateral margin of dorsal bone surface: 15",9,8,12,6,8,8,1,1,2,2,2,2,2,2,3,3,3,3,3,3,2,1,2,2,2
C57,374,Prootic,Otic,"Otic: Posteriorly, tracing lateral margin of dorsal bone surface: 15",9,8,12,6,8,8,1,1,2,2,2,2,2,2,3,3,3,3,3,3,2,1,2,2,2
C57,375,Prootic,Otic,"Otic: Posteriorly, tracing lateral margin of dorsal bone surface: 15",9,8,12,6,8,8,1,1,2,2,2,2,2,2,3,3,3,3,3,3,2,1,2,2,2
C57,376,Prootic,Otic,"Otic: Posteriorly, tracing lateral margin of dorsal bone surface: 15",9,8,12,6,8,8,1,1,2,2,2,2,2,2,3,3,3,3,3,3,2,1,2,2,2
C57,377,Prootic,Otic,"Otic: Posteriorly, tracing lateral margin of dorsal bone surface: 15",9,8,12,6,8,8,1,1,2,2,2,2,2,2,3,3,3,3,3,3,2,1,2,2,2
C57,378,Prootic,Otic,"Otic: Posteriorly, tracing lateral margin of dorsal bone surface: 15",9,8,12,6,8,8,1,1,2,2,2,2,2,2,3,3,3,3,3,3,2,1,2,2,2
C57,379,Prootic,Otic,"Otic: Posteriorly, tracing lateral margin of dorsal bone surface: 15",9,8,12,6,8,8,1,1,2,2,2,2,2,2,3,3,3,3,3,3,2,1,2,2,2
C57,380,Prootic,Otic,"Otic: Posteriorly, tracing lateral margin of dorsal bone surface: 15",9,8,12,6,8,8,1,1,2,2,2,2,2,2,3,3,3,3,3,3,2,1,2,2,2
C57,381,Prootic,Otic,"Otic: Posteriorly, tracing lateral margin of dorsal bone surface: 15",9,8,12,6,8,8,1,1,2,2,2,2,2,2,3,3,3,3,3,3,2,1,2,2,2
C57,382,Prootic,Otic,"Otic: Posteriorly, tracing lateral margin of dorsal bone surface: 15",9,8,12,6,8,8,1,1,2,2,2,2,2,2,3,3,3,3,3,3,2,1,2,2,2
C58,383,Prootic,Otic,"Otic: Medially, following contour: 8",9,8,12,6,8,8,1,1,2,2,2,2,2,2,3,3,3,3,3,3,2,1,2,2,2
C58,384,Prootic,Otic,"Otic: Medially, following contour: 8",9,8,12,6,8,8,1,1,2,2,2,2,2,2,3,3,3,3,3,3,2,1,2,2,2
C58,385,Prootic,Otic,"Otic: Medially, following contour: 8",9,8,12,6,8,8,1,1,2,2,2,2,2,2,3,3,3,3,3,3,2,1,2,2,2
C58,386,Prootic,Otic,"Otic: Medially, following contour: 8",9,8,12,6,8,8,1,1,2,2,2,2,2,2,3,3,3,3,3,3,2,1,2,2,2
C58,387,Prootic,Otic,"Otic: Medially, following contour: 8",9,8,12,6,8,8,1,1,2,2,2,2,2,2,3,3,3,3,3,3,2,1,2,2,2
C58,388,Prootic,Otic,"Otic: Medially, following contour: 8",9,8,12,6,8,8,1,1,2,2,2,2,2,2,3,3,3,3,3,3,2,1,2,2,2
C58,389,Prootic,Otic,"Otic: Medially, following contour: 8",9,8,12,6,8,8,1,1,2,2,2,2,2,2,3,3,3,3,3,3,2,1,2,2,2
C58,390,Prootic,Otic,"Otic: Medially, following contour: 8",9,8,12,6,8,8,1,1,2,2,2,2,2,2,3,3,3,3,3,3,2,1,2,2,2
C59,391,Prootic,Otic,Otic: Tracing along ridge: 5,9,8,12,6,8,8,1,1,2,2,2,2,2,2,3,3,3,3,3,3,2,1,2,2,2
C59,392,Prootic,Otic,Otic: Tracing along ridge: 5,9,8,12,6,8,8,1,1,2,2,2,2,2,2,3,3,3,3,3,3,2,1,2,2,2
C59,393,Prootic,Otic,Otic: Tracing along ridge: 5,9,8,12,6,8,8,1,1,2,2,2,2,2,2,3,3,3,3,3,3,2,1,2,2,2
C59,394,Prootic,Otic,Otic: Tracing along ridge: 5,9,8,12,6,8,8,1,1,2,2,2,2,2,2,3,3,3,3,3,3,2,1,2,2,2
C59,395,Prootic,Otic,Otic: Tracing along ridge: 5,9,8,12,6,8,8,1,1,2,2,2,2,2,2,3,3,3,3,3,3,2,1,2,2,2
C60,396,Nasal,Nasal,Nasal: Posteriorly tracing bone margin: 10,7,7,9,1,1,1,1,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1
C60,397,Nasal,Nasal,Nasal: Posteriorly tracing bone margin: 10,7,7,9,1,1,1,1,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1
C60,398,Nasal,Nasal,Nasal: Posteriorly tracing bone margin: 10,7,7,9,1,1,1,1,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1
C60,399,Nasal,Nasal,Nasal: Posteriorly tracing bone margin: 10,7,7,9,1,1,1,1,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1
C60,400,Nasal,Nasal,Nasal: Posteriorly tracing bone margin: 10,7,7,9,1,1,1,1,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1
C60,401,Nasal,Nasal,Nasal: Posteriorly tracing bone margin: 10,7,7,9,1,1,1,1,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1
C60,402,Nasal,Nasal,Nasal: Posteriorly tracing bone margin: 10,7,7,9,1,1,1,1,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1
C60,403,Nasal,Nasal,Nasal: Posteriorly tracing bone margin: 10,7,7,9,1,1,1,1,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1
C60,404,Nasal,Nasal,Nasal: Posteriorly tracing bone margin: 10,7,7,9,1,1,1,1,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1
C60,405,Nasal,Nasal,Nasal: Posteriorly tracing bone margin: 10,7,7,9,1,1,1,1,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1
C61,406,Nasal,Nasal,"Nasal: Laterally tracing bone margin, capturing bone depth: 10",7,7,9,1,1,1,1,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C61,407,Nasal,Nasal,"Nasal: Laterally tracing bone margin, capturing bone depth: 10",7,7,9,1,1,1,1,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C61,408,Nasal,Nasal,"Nasal: Laterally tracing bone margin, capturing bone depth: 10",7,7,9,1,1,1,1,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C61,409,Nasal,Nasal,"Nasal: Laterally tracing bone margin, capturing bone depth: 10",7,7,9,1,1,1,1,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C61,410,Nasal,Nasal,"Nasal: Laterally tracing bone margin, capturing bone depth: 10",7,7,9,1,1,1,1,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C61,411,Nasal,Nasal,"Nasal: Laterally tracing bone margin, capturing bone depth: 10",7,7,9,1,1,1,1,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C61,412,Nasal,Nasal,"Nasal: Laterally tracing bone margin, capturing bone depth: 10",7,7,9,1,1,1,1,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C61,413,Nasal,Nasal,"Nasal: Laterally tracing bone margin, capturing bone depth: 10",7,7,9,1,1,1,1,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C61,414,Nasal,Nasal,"Nasal: Laterally tracing bone margin, capturing bone depth: 10",7,7,9,1,1,1,1,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C61,415,Nasal,Nasal,"Nasal: Laterally tracing bone margin, capturing bone depth: 10",7,7,9,1,1,1,1,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C62,416,Nasal,Nasal,Nasal: Anteriorly tracing bone margin: 10,7,7,9,1,1,1,1,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C62,417,Nasal,Nasal,Nasal: Anteriorly tracing bone margin: 10,7,7,9,1,1,1,1,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C62,418,Nasal,Nasal,Nasal: Anteriorly tracing bone margin: 10,7,7,9,1,1,1,1,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C62,419,Nasal,Nasal,Nasal: Anteriorly tracing bone margin: 10,7,7,9,1,1,1,1,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C62,420,Nasal,Nasal,Nasal: Anteriorly tracing bone margin: 10,7,7,9,1,1,1,1,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C62,421,Nasal,Nasal,Nasal: Anteriorly tracing bone margin: 10,7,7,9,1,1,1,1,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C62,422,Nasal,Nasal,Nasal: Anteriorly tracing bone margin: 10,7,7,9,1,1,1,1,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C62,423,Nasal,Nasal,Nasal: Anteriorly tracing bone margin: 10,7,7,9,1,1,1,1,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C62,424,Nasal,Nasal,Nasal: Anteriorly tracing bone margin: 10,7,7,9,1,1,1,1,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C62,425,Nasal,Nasal,Nasal: Anteriorly tracing bone margin: 10,7,7,9,1,1,1,1,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C73,426,Maxilla,Maxilla(d),"Max (lat): Posteriorly, tracing bone margin: 15",2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
